node_id,x,y,demand,is_transshipment,is_depot,ready_time,due_time,service_time,transfer_capacity,is_dynamic,dynamic_appear_time
0,20.905812878086614,84.84822099337397,0,0,1,0,480,0,,,
1,90.60190710443632,54.15969227984869,0,1,0,0,480,10,12.0,,
2,62.94237111171005,25.691428469229336,0,1,0,0,480,10,29.0,,
3,80.08026879785245,63.21224284490231,0,1,0,0,480,6,26.0,,
4,50.35135112979966,6.0108556078395825,0,1,0,0,480,5,19.0,,
5,91.59349625111537,61.5451420384406,0,1,0,0,480,7,29.0,,
6,19.269109469296797,60.638611698305276,-2,0,0,44,211,15,,0.0,257.0
7,67.74633542399734,52.57703366832255,-2,0,0,266,427,10,,1.0,319.0
8,71.81017379560225,58.145394792862426,1,0,0,356,432,12,,0.0,69.0
9,94.77695820321482,5.369707859930683,-1,0,0,322,463,9,,0.0,-1.0
10,10.62457084695605,17.367163695433984,3,0,0,271,402,6,,0.0,206.0
11,69.01710706043322,64.55958727498087,-3,0,0,236,305,11,,0.0,-1.0
12,89.2058860209694,73.28774528838984,1,0,0,276,372,8,,0.0,-1.0
13,50.835548756459225,99.18317924636303,-2,0,0,208,360,18,,0.0,309.0
14,26.610795616929916,83.3191659785454,-1,0,0,328,399,7,,1.0,170.0
15,42.67903721939194,64.87351388757342,-1,0,0,228,326,12,,1.0,360.0
16,72.7268470452434,63.37540871903363,2,0,0,127,248,17,,1.0,-1.0
17,14.050730310859327,44.29510107479327,-3,0,0,74,167,11,,0.0,-1.0
18,56.143837793312436,84.90437591785968,2,0,0,15,113,17,,1.0,153.0
19,44.36457487985723,91.87473048042514,-1,0,0,101,168,17,,1.0,-1.0
20,44.037422302521065,54.877985926301164,-1,0,0,60,145,11,,1.0,392.0
21,79.6285682942801,58.30676844221436,2,0,0,358,483,7,,0.0,342.0
22,96.02180723828246,66.03358305141276,2,0,0,60,211,18,,0.0,-1.0
23,52.270945406760106,2.3591967780795864,-3,0,0,114,179,6,,1.0,362.0
24,41.37328975803298,29.924841926016043,2,0,0,339,463,8,,0.0,-1.0
25,74.81056678874893,20.82776751535458,-1,0,0,92,187,9,,1.0,-1.0
26,20.522008729407183,18.95190432373768,2,0,0,152,213,11,,0.0,-1.0
27,12.561561315623592,31.10070036708874,3,0,0,148,284,10,,0.0,-1.0
28,88.59221144434251,77.4928472305955,1,0,0,160,233,12,,1.0,-1.0
29,73.52512163067935,79.73368056499626,3,0,0,271,450,8,,0.0,416.0
30,26.941788932957166,88.74416907524878,-3,0,0,274,430,6,,1.0,-1.0
31,13.73033751416044,33.634572671558196,-2,0,0,149,254,5,,0.0,-1.0
32,58.67481189673429,10.290508834200063,-2,0,0,76,162,13,,0.0,-1.0
33,73.01301877764249,38.724604820347494,-1,0,0,318,490,18,,0.0,41.0
34,78.44056656084001,49.28962855846027,1,0,0,171,323,15,,0.0,-1.0
35,18.087452442533635,73.47618113553443,-3,0,0,342,485,15,,0.0,-1.0
36,25.214395583894355,49.08103012680428,-2,0,0,355,502,16,,0.0,215.0
37,7.553326915690761,61.78666544120367,-3,0,0,236,332,10,,0.0,-1.0
38,66.58577662162773,37.86742099727836,-3,0,0,87,171,17,,0.0,-1.0
39,95.44227803210738,87.41689214820684,3,0,0,252,381,10,,1.0,331.0
40,70.79409157399948,71.36520744937427,1,0,0,203,300,15,,0.0,168.0
41,25.240171494215126,65.6815231088449,1,0,0,51,141,5,,1.0,213.0
42,19.820626523551965,14.400322391982211,-3,0,0,127,217,11,,0.0,-1.0
43,99.94678942025801,62.23759314731742,-2,0,0,229,303,7,,0.0,-1.0
44,43.098787265719054,28.816452288395134,-1,0,0,270,438,8,,1.0,-1.0
45,60.39204436622274,4.959350822008613,-3,0,0,49,222,11,,0.0,-1.0
46,9.468099050479506,3.2856697740396346,-3,0,0,87,148,12,,0.0,-1.0
47,49.91698332626618,60.06066291871826,3,0,0,93,194,9,,0.0,-1.0
