node_id,x,y,demand,is_transshipment,is_depot,ready_time,due_time,service_time,transfer_capacity,is_dynamic,dynamic_appear_time
0,69.0615200150827,52.80338828038271,0,0,1,0,480,0,,,
1,28.85662792200264,81.46544505940506,0,1,0,0,480,11,27.0,,
2,29.005071229577517,99.14150462038035,0,1,0,0,480,10,18.0,,
3,81.63701891133404,70.79805013830877,0,1,0,0,480,10,27.0,,
4,6.134755796264601,90.43103719872735,0,1,0,0,480,5,21.0,,
5,79.0055305737551,22.902507929180228,0,1,0,0,480,7,14.0,,
6,39.224818132688895,26.863155161914285,-2,0,0,201,311,13,,0.0,256.0
7,98.44160341810665,85.41964448055595,2,0,0,111,190,17,,0.0,377.0
8,93.02253026951026,78.87742363754299,3,0,0,55,159,16,,1.0,-1.0
9,45.634824107024755,20.543424981468505,-1,0,0,292,468,18,,1.0,-1.0
10,20.80801569097338,15.1682848366677,1,0,0,357,499,14,,0.0,313.0
11,54.6649550303397,91.99665228636425,1,0,0,187,264,19,,0.0,68.0
12,99.17980700457663,28.72998000367648,-3,0,0,209,274,7,,0.0,-1.0
13,69.73145402967293,59.70980156103778,-3,0,0,132,256,12,,1.0,-1.0
14,48.89361168763111,66.57686438120413,3,0,0,246,309,16,,0.0,-1.0
15,37.1363018980069,94.44847750934495,2,0,0,192,254,10,,0.0,-1.0
16,70.5448867706337,75.42010919924448,1,0,0,83,173,18,,0.0,-1.0
17,24.24220950060739,16.858200349761944,-1,0,0,233,343,8,,0.0,-1.0
18,39.4340793094323,76.66724853361539,-3,0,0,8,168,12,,1.0,-1.0
19,93.87959097528575,42.732982597400785,3,0,0,321,390,9,,0.0,-1.0
20,77.41567924971659,47.04076194668095,-1,0,0,133,262,11,,1.0,277.0
21,29.52282495554638,73.92651507258476,-3,0,0,183,277,10,,0.0,-1.0
22,79.82021339813272,20.284079408068024,1,0,0,69,234,15,,0.0,-1.0
23,30.516950204533067,49.47768434736622,-2,0,0,26,139,11,,0.0,-1.0
24,18.65218297668767,92.88342987537925,-1,0,0,119,275,14,,0.0,-1.0
25,59.133391256074844,12.120327737169267,-1,0,0,151,211,10,,0.0,-1.0
26,18.40298646824621,95.43553453248444,-1,0,0,196,307,13,,0.0,161.0
27,73.81685856966183,73.44050845049861,1,0,0,60,136,6,,0.0,328.0
28,7.2498594005054535,89.5298837708947,-2,0,0,93,182,7,,1.0,-1.0
29,44.37353625586046,65.97173226399262,-1,0,0,104,234,19,,1.0,-1.0
30,95.9689219114014,10.00123803565569,3,0,0,231,326,14,,0.0,-1.0
31,48.22764594865787,4.961273666193177,-1,0,0,184,357,19,,0.0,-1.0
32,49.954542332371545,25.225941048757107,-2,0,0,350,471,18,,1.0,133.0
33,91.10655292738706,39.849249427308685,3,0,0,158,246,15,,0.0,-1.0
34,63.38724460520792,86.0287264814549,-2,0,0,78,225,5,,0.0,96.0
35,98.36918584171765,50.381937032854594,-1,0,0,104,230,8,,0.0,-1.0
36,45.57577028614559,7.573964529645871,-1,0,0,125,264,11,,0.0,-1.0
37,1.2738943337215036,60.880209249849614,-3,0,0,303,446,10,,1.0,-1.0
38,6.546435214764601,38.037893703847324,1,0,0,109,173,9,,0.0,-1.0
39,0.3606436106461497,61.52274989656708,-2,0,0,78,227,5,,1.0,230.0
40,42.54151604404962,12.702076978628785,-1,0,0,121,280,11,,0.0,79.0
41,29.63676068408221,56.96606989719245,-2,0,0,282,420,16,,0.0,365.0
42,65.67133680099771,46.23358796634468,-2,0,0,80,226,12,,0.0,-1.0
43,80.39591160909458,11.24404117029857,-2,0,0,122,277,17,,0.0,-1.0
44,8.454572261240777,4.424426901780832,3,0,0,304,464,8,,0.0,-1.0
45,53.582783944944225,70.62317042344579,3,0,0,261,382,15,,0.0,-1.0
46,13.052139942252971,63.89456218553925,1,0,0,11,133,13,,0.0,-1.0
